Date,const,MRP,SMB,HML,WML
2021-01-04 00:00:00+05:30,0.00011783108158473321,1.69341153551228,-1.185424332705471,0.3598071710232866,-0.5484014854120898
2021-01-05 00:00:00+05:30,0.00010186090447458448,1.6926771956858344,-1.1868348999880904,0.36153216603516225,-0.5474325640249214
2021-01-06 00:00:00+05:30,5.803035391937269e-05,1.6967400322712742,-1.1913256458461232,0.35966903615396084,-0.5459575346633855
2021-01-07 00:00:00+05:30,7.374445219917843e-05,1.6956027118960453,-1.190185142198833,0.35963424612171097,-0.5448193772625838
2021-01-08 00:00:00+05:30,9.91094604564141e-05,1.6950023686233573,-1.1896077763879995,0.3595298008324809,-0.5445502832547501
2021-01-11 00:00:00+05:30,8.994059791606664e-05,1.6926530549069216,-1.1903201704953095,0.36238684168670443,-0.5438930760940603
2021-01-12 00:00:00+05:30,6.367832563238299e-05,1.6869209303446593,-1.188215274983379,0.36810615510623507,-0.5457435956462116
2021-01-13 00:00:00+05:30,6.505277698777372e-05,1.6897276280718072,-1.1917780955767774,0.36736249846789426,-0.5447377922872274
2021-01-14 00:00:00+05:30,8.912871627954279e-05,1.6878332134250007,-1.1896793842986908,0.36821336642523894,-0.5450841680137518
2021-01-15 00:00:00+05:30,7.060121293576255e-05,1.6861458596999932,-1.1893627158468063,0.36987371190700974,-0.5451561407808029
2021-01-18 00:00:00+05:30,0.00010041995093052597,1.6876691871272311,-1.1901737497563771,0.3681030236126516,-0.54405583420217
2021-01-19 00:00:00+05:30,9.309140520205898e-05,1.686146849370092,-1.186459904195968,0.367179942709389,-0.5444282435053607
2021-01-20 00:00:00+05:30,9.028773238282006e-05,1.6858009061570334,-1.186029623789217,0.36742758098025247,-0.5445016359379617
2021-01-21 00:00:00+05:30,6.0372158933588455e-05,1.6783357800463574,-1.1800760115549593,0.37162130604578486,-0.545756278008526
2021-01-22 00:00:00+05:30,6.165871738003691e-05,1.6778725474464242,-1.1813873290245014,0.373910556457191,-0.5468913263926611
2021-01-25 00:00:00+05:30,3.843716509448181e-05,1.6774455202272602,-1.181243739068238,0.3751001513664961,-0.5468381794559424
2021-01-27 00:00:00+05:30,1.6691743237653815e-05,1.6779382748094633,-1.1819115613713764,0.3764563862819423,-0.5497791543631529
2021-01-28 00:00:00+05:30,2.0436131322454842e-05,1.6770510133553664,-1.1812321665109553,0.376268758666438,-0.5503060222511053
2021-01-29 00:00:00+05:30,4.209187380097728e-05,1.6695024698542034,-1.1756367951728226,0.3807234405942716,-0.5521899188731338
2021-02-01 00:00:00+05:30,2.3441035022671525e-05,1.6709521959523848,-1.1758050200253194,0.3796906816182007,-0.5523915136542805
2021-02-02 00:00:00+05:30,9.007209165464488e-05,1.665845916012432,-1.1720221843860281,0.38505033310581244,-0.5502893693120355
2021-02-03 00:00:00+05:30,6.676617848301114e-05,1.6645899723529305,-1.1705638612240814,0.38427471343299174,-0.551864693787271
2021-02-04 00:00:00+05:30,6.642947917772442e-05,1.6646587663354855,-1.17065674424602,0.3843872613079047,-0.5519084757522464
2021-02-05 00:00:00+05:30,5.347253322848366e-05,1.666509196109923,-1.1715763317843684,0.38331431783355946,-0.5525611854525347
2021-02-08 00:00:00+05:30,3.4723229348779076e-05,1.6733032935920509,-1.1754537838533121,0.3776706213978365,-0.5513281721586402
2021-02-09 00:00:00+05:30,3.105535905817891e-05,1.6725988483815215,-1.174018626571822,0.3769849426854653,-0.552024543401279
2021-02-10 00:00:00+05:30,2.8817782466330436e-05,1.6723258242726333,-1.1738991770985077,0.37712467318319676,-0.5520465499272511
2021-02-11 00:00:00+05:30,1.1167996368429247e-05,1.6742772312635048,-1.1754089822215308,0.37562471872605646,-0.5521597860924576
2021-02-12 00:00:00+05:30,6.140854794035042e-05,1.6748023441889783,-1.1766480495259013,0.37636723151128726,-0.5533663704134706
2021-02-15 00:00:00+05:30,5.8694555783105496e-05,1.675017667756416,-1.176686648716249,0.37616477710367513,-0.5534304464209117
2021-02-16 00:00:00+05:30,6.43819761238112e-05,1.6741300230885883,-1.1761278047866623,0.37696102559167255,-0.552735018686462
2021-02-17 00:00:00+05:30,7.485144278791475e-05,1.6747865059274827,-1.1770283768332095,0.3769145323709272,-0.5525856022487305
2021-02-18 00:00:00+05:30,0.000108632807615378,1.6695638436671776,-1.17325633364314,0.3803001950228878,-0.5549389303163992
2021-02-19 00:00:00+05:30,5.660997008481781e-05,1.6630448719588777,-1.1702225151052952,0.3865852108131896,-0.5560784917545418
2021-02-22 00:00:00+05:30,5.8363940540512955e-05,1.6626925347587815,-1.1696850069943299,0.3866318588051192,-0.5560232983314478
2021-02-23 00:00:00+05:30,6.493277251594983e-05,1.6613156409189416,-1.1679589695806747,0.3873108305516496,-0.5570638216173304
2021-02-24 00:00:00+05:30,6.705734858054456e-05,1.6612494575173389,-1.1678020365122692,0.38727197365728006,-0.5571804872365459
2021-02-25 00:00:00+05:30,4.428683327996016e-05,1.663431326930258,-1.168931476954199,0.3855950935354269,-0.5576148981178692
2021-02-26 00:00:00+05:30,5.810207122184448e-05,1.6623830000214253,-1.1691436776298392,0.3863233389591731,-0.5573212318115579
2021-03-01 00:00:00+05:30,7.65326903181615e-05,1.6612560288985263,-1.1681444239388508,0.38592813351359845,-0.5576524831376649
2021-03-02 00:00:00+05:30,5.104608597527368e-05,1.6640666159841269,-1.1698381111487206,0.38291549102449646,-0.5565341418528048
2021-03-03 00:00:00+05:30,4.955374536175119e-05,1.6622465666806931,-1.1700152065650764,0.38488084917058873,-0.5565424112536665
