Stock,const,MRP,SMB,HML,WML
RELIANCE,0.00028150789181026936,1.6034306315965898,-1.1188517825951818,0.4271755572571452,-0.5881700804295424
TCS,-0.000200790552460987,1.2495337258356423,0.2350122670565281,-0.808475279261063,-0.36890196569882283
INFY,4.5003630179735085e-05,1.5044468325981875,0.11952878476125109,-0.9266702432406114,-0.15676740428068026
HDFCBANK,-5.93559842852553e-05,1.5546605704661505,-1.0940958249268604,0.14858427162529875,0.7870441462727136
ITC,4.764167576707707e-05,0.30708214858245436,0.5275761101633063,0.02218127652795966,-0.1275854104594631
HINDUNILVR,-0.00027899993125090396,0.8125843337873253,0.17739673854695004,-0.4485636593433273,-0.2722393147509473
ICICIBANK,-8.956084375078403e-05,0.46646518610305177,0.7413384260008,0.3866795674216583,0.266884677790566
KOTAKBANK,-0.000442239954099128,0.37840674900561744,0.3878360051827209,0.4637393316589673,0.2612634348355848
BHARTIARTL,0.0005076502660676035,1.5714207029689604,-0.08149775256481179,-0.9444399698004747,0.42382264739407716
SBIN,-0.00016568276063134107,-0.6605356290917932,1.5604303529695294,1.1567587159883344,-0.18707551402796652
ASIANPAINT,-0.0002298690753379772,0.8319236864698629,0.07769654997611605,-0.28410064120885015,-0.1745302946081388
LT,0.00014206083806665666,0.573873007700921,0.4741236539292899,0.13933367740615543,0.0015809034922757113
AXISBANK,-0.0005240842753846682,-0.26595715050871005,1.4489161834951432,0.9018789742784212,-0.16549446198138038
MARUTI,-0.00018935352899659876,0.7422768985487531,0.34703257508650653,-0.010776846471996823,-0.08784119730557287
BAJFINANCE,-0.00018275238847547436,0.8041396575482262,0.6027450725927803,0.17680262445064912,0.2905251681603976
